595	15,8	709	18,8	119,16	0,53
348	18,4	344	18,2	98,85	0,58
4.382	20,7	2.897	13,7	66,11	0,52
2.442	19,6	1.851	14,9	75,80	0,53
449	15,5	609	21,0	135,63	0,57
4.897	24,5	2.754	13,8	56,24	0,62
4.461	15,7	4.788	16,9	107,33	0,48
3.205	18,2	3.082	17,5	96,16	0,56
9.501	16,8	9.135	16,1	96,15	0,49
825	18,0	796	17,4	96,48	0,55
11.771	17,7	11.384	17,1	96,71	0,53
86.456	20,6	53.334	12,7	61,69	0,50
26.541	18,3	21.294	14,7	80,23	0,49
15.627	17,5	14.518	16,2	92,90	0,51
694	20,9	431	13,0	62,10	0,51
341	15,7	455	21,0	133,43	0,58
10.924	20,9	8.537	16,4	78,15	0,59
1.238	16,3	1.339	17,6	108,16	0,51
7.764	16,2	8.435	17,6	108,64	0,51
3.810	16,5	4.081	17,7	107,11	0,52
3.194	17,4	3.105	16,9	97,21	0,52
589	14,7	865	21,6	146,86	0,57
11.920	21,2	6.212	11,0	52,11	0,47
790	18,1	749	17,2	94,81	0,54
6.870	21,9	3.534	11,3	51,44	0,50
2.529	19,7	1.745	13,6	69,00	0,50
857	18,9	643	14,2	75,03	0,49
600	14,1	929	21,8	154,83	0,56
638	21,5	349	11,8	54,70	0,50
1.006	21,5	575	12,3	57,16	0,51
1.252	18,7	1.355	20,3	108,23	0,64
3.457	19,4	2.737	15,3	79,17	0,53
1.168	13,5	1.863	21,5	159,50	0,54
1.520	14,1	2.341	21,7	154,01	0,56
907	19,0	625	13,1	68,91	0,47
1.074	17,1	1.102	17,5	102,61	0,53
2.236	24,0	873	9,4	39,04	0,50
264	13,3	520	26,2	196,97	0,65
212	18,2	199	17,1	93,87	0,55
2.114	20,5	1.290	12,5	61,02	0,49
3.636	17,8	3.168	15,5	87,13	0,50
341	15,6	471	21,5	138,12	0,59
734	20,7	426	12,0	58,04	0,49
725	18,7	553	14,2	76,28	0,49
9.990	17,8	7.619	13,6	76,27	0,46
1.156	22,0	563	10,7	48,70	0,49
6.871	17,9	6.360	16,6	92,56	0,53
