60	378	1389	30	268	1067	26	240	1142
42	60	170	21	43	131	18	38	140
15	54	158	7	38	121	6	34	130
18	33	73	9	23	56	8	21	60
68	296	662	34	210	508	29	188	544
1019	1481	4804	508	1049	3689	441	939	3948
19	7	67	9	5	51	8	4	55
268	655	2405	134	464	1847	116	415	1977
721	838	2578	360	594	1980	312	531	2119
4	15	33	2	11	25	2	10	27
35	30	168	17	21	129	15	19	138
27	70	216	13	50	166	12	44	178
269	509	1956	134	361	1502	116	323	1608
8	13	46	4	9	35	3	8	38
58	155	317	29	110	243	25	98	261
5	29	62	2	21	48	2	18	51
11	14	70	5	10	54	5	9	58
28	109	110	14	77	84	12	69	90
22	135	236	11	96	181	10	86	194
9	55	104	4	39	80	4	35	85
11	23	149	5	16	114	5	15	122
0	13	26	0	9	20	0	8	21
52	221	464	26	157	356	22	140	381
62	200	306	31	142	235	27	127	252
6	8	39	3	6	30	3	5	32
15	17	57	7	12	44	6	11	47
19	23	138	9	16	106	8	15	113
188	377	1112	94	267	854	81	239	914
426	849	2188	213	601	1680	184	538	1798
44	52	71	22	37	55	19	33	58
111	119	334	55	84	257	48	75	275
17	15	84	8	11	65	7	10	69
31	48	493	15	34	379	13	30	405
6	12	36	3	9	28	3	8	30
0	11	24	0	8	18	0	7	20
51	44	119	25	31	91	22	28	98
0	0	0	0	0	0	0	0	0
28	87	455	14	62	349	12	55	374
8	37	80	4	26	61	3	23	66
13	8	46	6	6	35	6	5	38
72	238	454	36	169	349	31	151	373
9	45	173	4	32	133	4	29	142
2	3	13	1	2	10	1	2	11
4	22	21	2	16	16	2	14	17
3	11	37	1	8	28	1	7	30
298	407	881	149	288	677	129	258	724
5	14	51	2	10	39	2	9	42
4	17	55	2	12	42	2	11	45
3	10	25	1	7	19	1	6	21
12	35	103	6	25	79	5	22	85
0	0	5	0	0	4	0	0	4
49	99	206	24	70	158	21	63	169
30	77	184	15	55	141	13	49	151
141	230	1014	70	163	779	61	146	833
19	96	165	9	68	127	8	61	136
20	46	85	10	33	65	9	29	70
47	221	427	23	157	328	20	140	351
64	88	359	32	62	276	28	56	295
89	328	1085	44	232	833	38	208	892
15	43	44	7	30	34	6	27	36
51	131	600	25	93	461	22	83	493
39	75	211	19	53	162	17	48	173
16	48	99	8	34	76	7	30	81
2	8	24	1	6	18	1	5	20
127	377	1024	63	267	786	55	239	842
118	405	1105	59	287	849	51	257	908
3	2	15	1	1	12	1	1	12
