10	9	8	4	3	3	2	2	2	3	1	0	0	1	-1	1	1	1	0	0	0	0	0	0	301	234	343	-1	-1	-1	1983	1.588	1.440	125	126	133	229	249	246
8	11	9	3	3	3	4	4	4	4	6	5	6	7	7	1	1	1	0	0	0	0	0	0	86	136	121	-1	-1	-1	2985	2.694	2.487	264	261	234	541	538	555
4	2	7	0	1	1	1	1	1	2	1	1	1	1	1	1	1	1	0	0	0	0	0	0	69	109	199	-1	-1	-1	418	392	346	44	39	36	37	38	29
4	4	3	2	2	2	1	2	2	0	0	0	2	1	1	1	1	1	0	0	0	0	0	0	306	402	275	-1	-1	-1	2232	2.090	2.000	205	196	186	199	205	238
31	41	46	6	7	7	11	10	7	4	2	2	12	16	13	3	3	3	1	1	1	1	1	1	17	41	57	303	412	485	8671	7.558	6.993	977	1.018	1.055	918	956	981
7	6	7	2	3	2	1	1	1	0	3	2	0	0	-1	1	1	1	0	0	0	0	0	0	39	30	31	-1	-1	-1	671	636	606	28	26	29	28	34	41
5	6	6	2	2	4	1	1	2	0	2	2	0	1	1	1	1	1	0	0	0	0	0	0	34	56	97	-1	-1	-1	934	992	964	108	106	104	49	49	48
15	14	12	4	4	3	2	2	2	2	2	2	3	3	4	2	2	2	0	0	0	0	0	0	424	533	682	-1	-1	-1	2090	1.749	1.625	97	95	102	236	233	228
9	13	8	4	4	4	2	2	2	0	0	0	2	2	2	2	2	2	1	1	1	0	0	0	12	10	9	16	43	38	2384	1.707	1.463	149	160	177	160	158	183
7	10	7	3	4	3	0	0	0	3	4	4	1	1	1	1	1	1	0	0	0	0	0	0	71	70	50	-1	-1	-1	1627	1.307	1.188	87	87	88	128	139	149
6	1	2	2	3	2	2	1	1	2	0	0	2	2	2	1	1	1	0	0	0	0	0	0	-1	53	55	-1	-1	-1	1705	1.497	1.334	89	90	90	66	72	80
5	7	6	3	3	3	1	0	0	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	221	167	56	-1	-1	-1	1577	1.529	1.486	70	73	77	115	120	117
4	4	3	2	2	2	1	1	1	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0	50	111	94	-1	-1	-1	737	796	749	21	20	23	50	49	48
8	8	9	4	4	4	2	2	2	2	0	3	3	2	3	1	1	1	1	1	1	0	0	0	-1	115	58	70	60	34	2465	2.143	1.949	129	122	123	194	219	243
7	6	8	2	3	3	0	0	0	1	0	0	0	1	-1	1	1	1	0	0	0	0	0	0	89	90	125	-1	-1	-1	1199	1.094	1.013	73	69	69	55	58	57
12	11	12	4	4	3	2	2	2	7	5	6	1	1	1	1	1	1	1	1	1	0	0	0	133	152	215	50	35	22	3704	3.345	3.096	206	208	206	254	274	288
7	9	8	3	2	3	2	2	2	2	4	2	5	5	4	1	1	1	0	0	0	0	0	0	225	532	558	-1	-1	-1	2088	1.774	1.604	72	73	76	191	198	204
11	10	8	3	4	4	3	2	2	7	4	4	4	5	4	1	1	1	1	1	1	0	0	0	55	34	31	92	91	98	1048	1.062	1.042	132	134	131	89	98	93
4	4	4	3	3	3	1	1	1	0	0	0	0	0	-1	1	1	1	0	0	0	0	0	0	226	66	123	-1	-1	-1	919	919	886	19	19	21	48	48	49
