15.317	429,17	35,96	0,19	-61	12,40	19,58	16,03	4.902	81,35	98,02
5.533	170,67	32,55	0,10	-5	7,39	16,40	20,18	1.852	87,51	98,56
64.670	550,03	118,86	0,27	-1	11,89	16,41	17,63	21.831	96,94	98,75
1.562	100,76	15,84	0,54	4	12,60	18,98	17,42	514	57,14	98,93
168.072	29,57	6.025,03	1,47	565	16,46	23,34	8,39	48.383	95,51	85,92
1.755	225,3	7,43	1,17	-49	9,45	15,29	21,51	622	83,75	95,49
3.005	204,3	14,40	0,53	-21	8,79	13,29	23,08	1.084	82,77	99,55
12.832	525,08	23,85	0,61	113	8,81	17,83	14,78	3.842	78,90	98,58
2.831	225,63	12,26	0,58	-49	15,10	19,20	17,61	942	90,06	96,79
318.369	605,68	542,60	0,80	-37	14,27	20,35	12,88	97.741	98,24	99,31
154.287	49,07	3.302,53	1,24	-44	18,37	25,21	7,97	43.941	99,80	50,01
131.389	134,16	1.043,39	1,60	947	15,23	22,11	9,02	36.267	92,13	69,17
2.708	138,55	19,51	0,05	-13	16,27	15,65	19,27	927	85,83	99,24
7.018	356,01	19,06	0,83	-114	10,23	17,46	18,12	2.363	75,78	98,30
43.115	555,63	77,10	0,16	-260	12,73	18,78	16,21	13.482	92,33	99,32
4.188	180,94	24,57	1,51	28	11,19	19,25	14,24	1.276	91,61	98,68
4.416	243,77	18,44	0,45	-12	15,19	21,00	11,54	1.333	84,90	99,82
10.670	493,35	21,65	0,03	-49	11,52	16,91	17,09	3.607	86,60	96,86
10.762	678,7	15,90	0,06	-18	10,20	17,87	14,50	3.037	79,13	95,72
4.564	273,56	16,97	0,43	-22	14,06	20,09	15,59	1.421	75,06	97,15
10.657	271,14	41,29	1,24	59	11,48	20,96	12,47	3.244	91,88	88,38
5.423	218,01	25,03	0,16	-30	14,13	21,35	14,97	1.691	89,06	99,19
37.380	1.258,48	30,30	0,50	-2	12,54	19,02	13,81	11.981	96,70	99,67
17.834	324,92	58,93	1,79	277	14,20	17,55	14,03	5.731	89,57	92,27
18.012	408,29	43,48	0,36	-406	10,58	23,33	13,64	5.420	40,98	83,08
19.850	362,48	55,80	0,47	-106	11,28	23,16	12,37	6.048	97,21	99,06
8.439	569,87	14,81	0,00	-86	9,01	17,58	18,74	2.847	80,25	99,78
9.966	641,5	16,19	1,04	37	12,55	20,85	13,69	3.168	91,09	95,97
1.970	85,53	22,82	0,23	-11	8,69	18,08	18,39	705	88,63	97,28
6.403	461,15	13,94	0,11	-47	12,30	22,02	13,39	1.945	87,82	99,34
30.582	956,34	32,70	0,56	5	12,54	18,54	15,76	10.007	93,19	99,12
25.808	270,82	100,61	1,37	138	15,77	21,26	12,57	7.759	86,05	51,10
112.004	752,64	152,46	0,61	-22	12,29	18,96	14,36	34.183	95,31	92,54
14.522	566,35	26,54	0,87	348	11,00	16,62	10,62	3.689	57,76	75,94
35.447	270,29	136,75	1,05	66	15,53	21,85	10,21	10.624	98,14	99,56
290.526	143,45	2.096,63	0,87	-657	15,61	22,37	10,52	84.968	99,98	77,97
1.220.653	318,68	3.999,40	1,09	43	16,92	22,50	9,57	360.540	100	86,90
6.961	413,74	17,29	0,69	-5	11,12	21,87	13,08	2.044	76,41	95,09
4.750	252,01	19,44	0,77	8	13,17	20,27	14,52	1.535	86,57	99,31
8.690	364,64	24,47	0,66	8	11,51	20,77	13,94	2.797	92,37	93,93
11.257	65,58	193,32	3,02	276	12,51	20,86	10,38	3.333	78,10	88,46
192.317	62,28	3.334,38	1,94	2.183	14,56	20,96	8,87	55.393	100	36,90
9.997	547,39	19,29	1,37	116	11,91	18,94	14,66	3.104	87,78	93,84
6.422	322,63	19,73	0,21	-68	12,70	19,00	17,36	2.081	81,25	99,51
6.337	401,31	16,36	0,89	283	13,06	18,57	9,95	1.390	44,50	87,13
30.696	290,66	111,40	1,34	104	15,74	21,97	9,82	8.800	96,28	99,61
10.883	271,91	41,89	1,14	91	12,17	17,90	16,52	3.644	92,89	94,57
6.716	228,32	30,83	1,18	58	12,79	20,45	14,38	2.165	93,12	95,40
53.100	689,25	80,45	1,09	358	12,76	18,49	13,68	16.823	96,42	98,78
71.157	1.058,08	69,28	0,75	-62	15,45	22,17	12,37	21.428	35,76	54,54
7.456	362,59	21,23	0,80	4	14,27	21,12	12,67	2.370	86,18	99,61
7.625	595	13,00	0,37	-7	12,97	19,43	16,42	2.456	90,67	92,69
23.356	97,72	242,13	0,32	-116	12,59	20,34	11,35	6.861	99,43	99,33
27.934	468,25	61,07	0,59	-11	10,66	19,57	14,35	8.993	94,82	97,88
8.826	292,95	30,81	0,56	-36	16,60	21,63	13,98	2.809	82,08	50,56
28.829	1.977,95	14,68	0,17	-127	11,46	21,93	16,45	9.076	86,69	73,10
9.003	191,97	49,57	1,39	171	13,00	20,74	18,78	3.110	100	38,04
25.055	652,45	38,93	0,34	-55	11,02	16,58	16,67	8.051	93,84	94,10
28.125	347,54	87,56	1,99	380	15,45	22,76	9,28	9.015	99,31	7,37
201.089	312,05	707,46	2,36	3.741	13,72	19,29	11,57	61.293	98,99	94,13
4.826	127	37,96	0,10	-31	13,72	17,73	16,21	1.602	86,64	80,09
3.904	279,6	13,86	0,18	-26	8,50	16,69	20,54	1.421	88,54	90,44
3.627	87,41	42,79	0,77	12	11,85	18,34	15,56	1.177	88,88	98,07
13.653	209,66	66,74	0,62	7	11,87	21,32	13,82	4.110	93,10	98,09
28.198	170,28	181,08	2,26	776	11,67	21,45	9,52	7.796	61,71	77,82
6.000	190,01	34,82	2,48	120	16,11	21,76	11,36	1.778	88,11	92,29
4.454	135,69	35,26	1,80	75	12,13	17,98	16,47	1.443	62,17	100
4.301	1.152,05	3,76	0,17	-73	12,95	24,38	12,75	1.239	59,89	74,22
14.127	465,88	31,87	1,25	81	12,48	21,86	10,95	4.379	96,30	99,34
19.987	115,12	187,55	1,95	293	10,91	19,44	11,40	5.941	98,14	94,38
7.270	257,91	28,95	0,67	23	11,73	18,83	14,65	2.248	90,77	99,00
7.786	214,9	35,33	0,63	17	8,51	13,72	17,78	2.220	70,70	92,64
17.867	1.110,50	15,95	0,21	-267	13,46	21,33	14,01	5.526	71,35	93,07
23.982	1.082,78	23,09	1,04	78	13,70	21,29	11,42	7.152	78,52	94,69
14.553	502,07	29,09	0,09	-16	11,31	15,74	18,91	4.857	85,46	98,28
3.240	229,82	14,88	1,35	49	11,56	19,27	15,38	974	76,31	99,01
86.919	601,67	152,44	1,35	746	15,82	22,68	15,82	28.249	99,15	24,40
3.228	183,02	17,46	0,26	-26	14,99	21,31	16,34	991	54,52	41,88
152.407	150,87	1.056,92	1,14	36	18,01	23,71	8,37	42.789	99,17	35,81
144.209	1.790,21	84,16	1,10	501	14,47	21,32	12,24	42.274	91,29	95,22
87.711	1.826,26	48,84	0,42	-586	16,82	23,21	11,43	26.611	87,38	93,30
200.415	82,66	2.601,43	1,78	1.004	19,15	25,00	7,53	57.604	100	74,44
68.492	518,39	134,97	0,53	268	11,15	16,71	15,71	21.187	93,18	97,75
3.877	406,48	9,79	0,66	-25	12,65	26,76	11,86	1.159	49,80	82,30
40.031	996,85	40,80	0,40	39	11,55	17,42	15,94	13.188	92,16	99,29
14.547	507,71	28,73	0,07	-105	13,99	22,06	15,58	4.746	78,18	93,25
12.157	140,8	91,17	1,37	106	12,71	20,84	12,94	3.711	96,27	88,56
4.352	301,37	15,20	1,29	29	13,93	19,80	14,06	1.350	79,92	32,04
321.329	82,61	4.124,82	1,48	744	17,01	24,83	7,51	89.670	100	71,33
